Frame,Visibility,X,Y,Z,Event,Timestamp
1,0,0.0,0.0,0.0,0,0.0
2,0,0.0,0.0,0.0,0,0.0084033613445378
3,0,0.0,0.0,0.0,0,0.0168067226890756
4,0,0.0,0.0,0.0,0,0.0252100840336134
5,0,0.0,0.0,0.0,0,0.0668067226890756
6,0,0.0,0.0,0.0,0,0.0736134453781512
7,0,0.0,0.0,0.0,0,0.0771428571428571
8,0,0.0,0.0,0.0,0,0.0821848739495798
9,0,0.0,0.0,0.0,0,0.0873949579831932
10,0,0.0,0.0,0.0,0,0.0915966386554621
11,0,0.0,0.0,0.0,0,0.0963865546218487
12,0,0.0,0.0,0.0,0,0.1005042016806722
13,0,0.0,0.0,0.0,0,0.1057142857142857
14,0,0.0,0.0,0.0,0,0.1162184873949579
15,0,0.0,0.0,0.0,0,0.1232773109243697
16,0,0.0,0.0,0.0,0,0.1321848739495798
17,0,0.0,0.0,0.0,0,0.140672268907563
18,0,0.0,0.0,0.0,0,0.1433613445378151
19,0,0.0,0.0,0.0,0,0.1511764705882353
20,0,0.0,0.0,0.0,0,0.1595798319327731
21,0,0.0,0.0,0.0,0,0.1679831932773109
22,0,0.0,0.0,0.0,0,0.1763025210084033
23,0,0.0,0.0,0.0,0,0.1847899159663865
24,0,0.0,0.0,0.0,0,0.193109243697479
25,0,0.0,0.0,0.0,0,0.2015126050420168
26,0,0.0,0.0,0.0,0,0.2099159663865546
27,0,0.0,0.0,0.0,0,0.2183193277310924
28,0,0.0,0.0,0.0,0,0.2267226890756302
29,0,0.0,0.0,0.0,0,0.235126050420168
30,0,0.0,0.0,0.0,0,0.2435294117647058
31,0,0.0,0.0,0.0,0,0.2518487394957983
32,0,0.0,0.0,0.0,0,0.2602521008403361
33,0,0.0,0.0,0.0,0,0.2686554621848739
34,0,0.0,0.0,0.0,0,0.2771428571428571
35,0,0.0,0.0,0.0,0,0.2854621848739496
36,0,0.0,0.0,0.0,0,0.2938655462184874
37,0,0.0,0.0,0.0,0,0.3022689075630252
38,0,0.0,0.0,0.0,0,0.310672268907563
39,0,0.0,0.0,0.0,0,0.3190756302521008
40,0,0.0,0.0,0.0,0,0.3274789915966387
41,0,0.0,0.0,0.0,0,0.3358823529411764
42,0,0.0,0.0,0.0,0,0.3442857142857143
43,0,0.0,0.0,0.0,0,0.3526050420168067
44,0,0.0,0.0,0.0,0,0.3610084033613445
45,0,0.0,0.0,0.0,0,0.3694117647058824
46,0,0.0,0.0,0.0,0,0.3778991596638655
47,0,0.0,0.0,0.0,0,0.3863025210084034
48,0,0.0,0.0,0.0,0,0.3947058823529412
49,0,0.0,0.0,0.0,0,0.403109243697479
50,0,0.0,0.0,0.0,0,0.4115126050420168
51,0,0.0,0.0,0.0,0,0.4198319327731092
52,0,0.0,0.0,0.0,0,0.428235294117647
53,0,0.0,0.0,0.0,0,0.4366386554621849
54,0,0.0,0.0,0.0,0,0.4450420168067227
55,0,0.0,0.0,0.0,0,0.4534453781512605
56,0,0.0,0.0,0.0,0,0.4618487394957983
57,0,0.0,0.0,0.0,0,0.4702521008403361
58,1,1158.0,424.0,0.0,0,0.478655462184874
59,1,518.0,616.0,0.0,0,0.4870588235294117
60,0,0.0,0.0,0.0,0,0.4953781512605042
61,0,0.0,0.0,0.0,0,0.5038655462184874
62,0,0.0,0.0,0.0,0,0.5121848739495799
63,0,0.0,0.0,0.0,0,0.5205882352941177
64,0,0.0,0.0,0.0,0,0.5289075630252101
65,0,0.0,0.0,0.0,0,0.5373949579831933
66,0,0.0,0.0,0.0,0,0.5457983193277312
67,0,0.0,0.0,0.0,0,0.5542016806722689
68,0,0.0,0.0,0.0,0,0.5625210084033614
69,0,0.0,0.0,0.0,0,0.5709243697478992
70,0,0.0,0.0,0.0,0,0.579327731092437
71,0,0.0,0.0,0.0,0,0.5877310924369749
72,0,0.0,0.0,0.0,0,0.5961344537815126
73,0,0.0,0.0,0.0,0,0.6045378151260504
74,0,0.0,0.0,0.0,0,0.6129411764705882
75,0,0.0,0.0,0.0,0,0.6213445378151261
76,0,0.0,0.0,0.0,0,0.6296638655462186
77,0,0.0,0.0,0.0,0,0.6380672268907563
78,0,0.0,0.0,0.0,0,0.6465546218487395
79,0,0.0,0.0,0.0,0,0.6548739495798319
80,0,0.0,0.0,0.0,0,0.6632773109243698
81,0,0.0,0.0,0.0,0,0.6716806722689076
82,0,0.0,0.0,0.0,0,0.6800840336134454
83,0,0.0,0.0,0.0,0,0.6884873949579832
84,0,0.0,0.0,0.0,0,0.6968907563025211
85,0,0.0,0.0,0.0,0,0.7052941176470588
86,0,0.0,0.0,0.0,0,0.7136974789915966
87,0,0.0,0.0,0.0,0,0.7220168067226891
88,0,0.0,0.0,0.0,0,0.7304201680672269
89,0,0.0,0.0,0.0,0,0.7388235294117648
90,0,0.0,0.0,0.0,0,0.7472268907563026
91,0,0.0,0.0,0.0,0,0.7556302521008403
92,0,0.0,0.0,0.0,0,0.7640336134453781
93,0,0.0,0.0,0.0,0,0.772436974789916
94,0,0.0,0.0,0.0,0,0.7808403361344538
95,0,0.0,0.0,0.0,0,0.7892436974789916
96,0,0.0,0.0,0.0,0,0.7976470588235295
97,0,0.0,0.0,0.0,0,0.8060504201680673
98,0,0.0,0.0,0.0,0,0.8143697478991597
99,0,0.0,0.0,0.0,0,0.8227731092436975
100,0,0.0,0.0,0.0,0,0.8311764705882353
101,0,0.0,0.0,0.0,0,0.8395798319327731
102,0,0.0,0.0,0.0,0,0.847983193277311
103,0,0.0,0.0,0.0,0,0.8563865546218488
104,0,0.0,0.0,0.0,0,0.8647899159663865
105,0,0.0,0.0,0.0,0,0.8731932773109244
106,0,0.0,0.0,0.0,0,0.8815966386554622
107,0,0.0,0.0,0.0,0,0.89
108,0,0.0,0.0,0.0,0,0.8984033613445378
109,0,0.0,0.0,0.0,0,0.9068067226890756
110,0,0.0,0.0,0.0,0,0.9152100840336136
111,0,0.0,0.0,0.0,0,0.923529411764706
112,0,0.0,0.0,0.0,0,0.9319327731092436
113,0,0.0,0.0,0.0,0,0.9403361344537816
114,0,0.0,0.0,0.0,0,0.9487394957983194
115,0,0.0,0.0,0.0,0,0.9571428571428572
116,0,0.0,0.0,0.0,0,0.965546218487395
117,0,0.0,0.0,0.0,0,0.9739495798319328
118,0,0.0,0.0,0.0,0,0.9823529411764708
119,0,0.0,0.0,0.0,0,0.9906722689075632
120,0,0.0,0.0,0.0,0,0.9990756302521008
121,0,0.0,0.0,0.0,0,1.007478991596639
122,0,0.0,0.0,0.0,0,1.0158823529411765
123,0,0.0,0.0,0.0,0,1.0242857142857142
124,0,0.0,0.0,0.0,0,1.032689075630252
125,0,0.0,0.0,0.0,0,1.04109243697479
126,0,0.0,0.0,0.0,0,1.0494957983193278
127,0,0.0,0.0,0.0,0,1.0578991596638656
128,0,0.0,0.0,0.0,0,1.0663025210084034
129,0,0.0,0.0,0.0,0,1.0746218487394958
130,0,0.0,0.0,0.0,0,1.0830252100840336
131,0,0.0,0.0,0.0,0,1.0914285714285714
132,0,0.0,0.0,0.0,0,1.0999159663865548
133,0,0.0,0.0,0.0,0,1.108235294117647
134,0,0.0,0.0,0.0,0,1.116638655462185
135,0,0.0,0.0,0.0,0,1.1250420168067228
136,0,0.0,0.0,0.0,0,1.1334453781512606
137,0,0.0,0.0,0.0,0,1.1418487394957983
138,0,0.0,0.0,0.0,0,1.150252100840336
139,0,0.0,0.0,0.0,0,1.158655462184874
140,0,0.0,0.0,0.0,0,1.1670588235294117
141,0,0.0,0.0,0.0,0,1.1754621848739495
142,0,0.0,0.0,0.0,0,1.1837815126050422
143,0,0.0,0.0,0.0,0,1.1922689075630253
144,0,0.0,0.0,0.0,0,1.2005882352941175
145,0,0.0,0.0,0.0,0,1.2089915966386555
146,0,0.0,0.0,0.0,0,1.2173949579831933
147,0,0.0,0.0,0.0,0,1.225798319327731
148,0,0.0,0.0,0.0,0,1.2342016806722689
149,0,0.0,0.0,0.0,0,1.2426050420168069
150,0,0.0,0.0,0.0,0,1.251008403361345
151,0,0.0,0.0,0.0,0,1.2594117647058825
152,0,0.0,0.0,0.0,0,1.2678151260504202
153,0,0.0,0.0,0.0,0,1.276218487394958
154,0,0.0,0.0,0.0,0,1.2846218487394958
155,0,0.0,0.0,0.0,0,1.2930252100840336
156,0,0.0,0.0,0.0,0,1.3013445378151258
157,0,0.0,0.0,0.0,0,1.3097478991596638
158,0,0.0,0.0,0.0,0,1.3181512605042016
159,0,0.0,0.0,0.0,0,1.3265546218487396
160,0,0.0,0.0,0.0,0,1.3349579831932774
161,0,0.0,0.0,0.0,0,1.3433613445378152
162,0,0.0,0.0,0.0,0,1.351764705882353
163,0,0.0,0.0,0.0,0,1.3600840336134454
164,0,0.0,0.0,0.0,0,1.3684873949579832
165,0,0.0,0.0,0.0,0,1.376890756302521
166,0,0.0,0.0,0.0,0,1.3852941176470588
167,0,0.0,0.0,0.0,0,1.3936974789915966
168,0,0.0,0.0,0.0,0,1.4021008403361346
